Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202200001;01/01/2022;;COM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;130;;JORDÃO;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200007;01/01/2022;;SEM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;IMBIRIBEIRA;471;CIDADE;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;
202200025;01/01/2022;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;CAXANGÁ;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;2;0;;;;;;;;;;;;;
202200029;01/01/2022;;COM VÍTIMA;CANCELADA;JOANA BEZERRA;AV GOVERNADOR AGAMENON MAGALHAES;;;JOANA BEZERRA;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200082;02/01/2022;;COM VÍTIMA;FINALIZADA;AFLITOS;RUA MANUEL DE CARVALHO;432;RUA CARNEIRO VILELA;AFLITOS;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;"Placas ""Pare""";;Única;Faixa contínua;;
202200085;02/01/2022;;COM VÍTIMA;FINALIZADA;TAMARINEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;RUA CONEGO BARATA;TAMARINEIRA;62;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;;;;
202200086;02/01/2022;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;841;;IMBIRIBEIRA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;Outros;;40 km/h;;;;
202200107;03/01/2022;;SEM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA NORDESTE;109;;VASCO DA GAMA;;CIDADE;CAPOTAMENTO;0;0;0;0;0;1;0;0;0;0;0;;Chuvoso;Não existe;Não existente;Molhada;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200139;03/01/2022;;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CONEGO BARATA;410;;TAMARINEIRA;;SUBURBIO;;1;0;0;0;0;0;0;1;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Faixa seccionada;Canteiro central;
202200154;03/01/2022;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;CAXANGÁ;;CAMARAGIBE;COLISÃO LATERAL;1;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200165;04/01/2022;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1253;RUA DAS MOCAS;ARRUDA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Outros;Outras;;Dupla;Faixa contínua;;
202200176;04/01/2022;;COM VÍTIMA;FINALIZADA;APIPUCOS;RUA DE APIPUCOS;;RUA CORONEL JOAO BATISTA DO REGO BARROS;APIPUCOS;540;SUBURBIO;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;
202200178;04/01/2022;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV RUI BARBOSA;1473;;GRAÇAS;;CIDADE;ATROPELAMENTO DE PESSOA;1;0;0;0;1;0;0;0;0;1;0;Longo da via;Chuvoso;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Única;Faixa seccionada;;
202200179;04/01/2022;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1020;;ARRUDA;;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Dupla;Faixa contínua;;
202200186;04/01/2022;;COM VÍTIMA;CANCELADA;BOA VIAGEM;AV ENGENHEIRO DOMINGOS FERREIRA;2200;;BOA VIAGEM;;;COLISÃO TRASEIRA;3;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200189;04/01/2022;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;IMBIRIBEIRA;570;SUBURBIO;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;60 km/h;Única;Faixa contínua;;
202200194;04/01/2022;;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA MAJOR NEREU GUERRA;;RUA MAJOR AFONSO LEAL;CASA AMARELA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;2;0;Esquina;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;Outras;;Única;Faixa seccionada;;
202200196;04/01/2022;;SEM VÍTIMA;FINALIZADA;VASCO DA GAMA;RUA PLANALTO;157;;VASCO DA GAMA;;SUBURBIO;CHOQUE;0;0;0;0;0;0;1;0;0;0;0;;Bom;;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200199;04/01/2022;;COM VÍTIMA;FINALIZADA;ILHA DO LEITE;RUA GENERAL JOAQUIM INACIO;;AV FREI MATIAS TEVES;ILHA DO LEITE;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;40 km/h;Dupla;Faixa seccionada;;
202200211;04/01/2022;;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;AV ANTONIO TORRES GALVAO;360;;IMBIRIBEIRA;;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;R-6a;;Única;Faixa seccionada;;
202200216;04/01/2022;;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;1810;RUA JEAN EMILE FAVRE;IPSEP;130;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Chuvoso;;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;R-6a;;Dupla;Faixa contínua;Faixa seccionada;
202200238;05/01/2022;;COM VÍTIMA;FINALIZADA;DOIS IRMÃOS;RUA MANUEL DE MEDEIROS;450;;DOIS IRMÃOS;;;COLISÃO LATERAL;1;1;0;0;0;0;1;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;;;Dupla;Faixa contínua;;
202200257;05/01/2022;;COM VÍTIMA;FINALIZADA;CABANGA;VIADUTO CAPITAO TEMUDO;SN;;CABANGA;;CIDADE;COLISÃO TRASEIRA;0;2;0;0;0;0;0;0;0;2;0;Viaduto;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Blocos;;
202200259;05/01/2022;;COM VÍTIMA;CANCELADA;CAXANGÁ;AV CAXANGA;;;CAXANGÁ;;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200268;05/01/2022;;SEM VÍTIMA;FINALIZADA;ARRUDA;AV PROFESSOR JOSE DOS ANJOS;162;;ARRUDA;131;SUBURBIO;;0;1;0;0;0;0;0;1;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;R-4b;40 km/h;Dupla;Canal;;
202200269;05/01/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA MARQUES DO PARANA;;RUA ALFREDO DE CARVALHO;ESPINHEIRO;;;COLISÃO TRANSVERSAL;0;0;0;0;0;1;1;0;0;2;0;Cruzamento;Bom;Não existe;Ilegível;Seca;Perfeito estado;Faixa de pedestre;R-4a;;Única;Não existe;;
202200278;05/01/2022;;COM VÍTIMA;FINALIZADA;IBURA;AV DOM HELDER CAMARA;;;IBURA;315;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;;Dupla;Faixa contínua;;
202200288;05/01/2022;;SEM VÍTIMA;FINALIZADA;ÁGUA FRIA;EST VELHA DE AGUA FRIA;1110;;ÁGUA FRIA;;SUBURBIO;CHOQUE;0;0;0;0;0;0;1;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Canteiro central;;
202200293;05/01/2022;;COM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;AV MILITAR;;1PR DIAS COELHO;BAIRRO DO RECIFE;;S;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;50 km/h;Única;;;
202200300;05/01/2022;;COM VÍTIMA;FINALIZADA;ILHA JOANA BEZERRA;AV GOVERNADOR AGAMENON MAGALHAES;;;ILHA JOANA BEZERRA;;;CHOQUE;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200302;06/01/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;AV JOAO DE BARROS;;;ESPINHEIRO;;SUBURBIO;CHOQUE;0;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;;
202200312;06/01/2022;;COM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;211;;NOVA DESCOBERTA;;;ATROPELAMENTO DE PESSOA;0;0;0;0;1;1;0;0;0;1;0;Longo da via;Nublado;Não existe;Incompleta;Seca;Perfeito estado;Não existe;;;Dupla;Faixa contínua;Faixa seccionada;
202200320;06/01/2022;;COM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;1715;;BARRO;;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;60 km/h;Dupla;Faixa contínua;;
202200323;06/01/2022;;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;969;;CASA FORTE;;CIDADE;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa contínua;;
202200333;06/01/2022;;SEM VÍTIMA;FINALIZADA;CASA AMARELA;RUA EUGENIO SAMICO;;RUA OSCAR DE BARROS;CASA AMARELA;;SUBURBIO;;2;0;0;0;0;0;0;0;0;0;0;Cruzamento;Bom;Não existe;;Seca;Perfeito estado;Faixa de pedestre;Outras;30 km/h;Dupla;Não existe;;
202200338;06/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;680;RUA BALTAZAR PASSOS;BOA VIAGEM;154;;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";60 km/h;Única;Faixa seccionada;Canteiro central;Canal
202200372;06/01/2022;;SEM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;RUA IMPERADOR PEDRO SEGUNDO;;;SANTO ANTÔNIO;203;CIDADE;;3;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
202200383;06/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DOS NAVEGANTES;785;RUA ERNESTO DE PAULA SANTOS;BOA VIAGEM;;SUBURBIO;COLISÃO LATERAL;1;0;0;0;0;0;0;0;1;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;"Placas ""Pare""";;Única;Faixa seccionada;;
202200384;06/01/2022;;COM VÍTIMA;FINALIZADA;CORDEIRO;RUA PROFESSOR JOAQUIM XAVIER DE BRITO;166;RUA OCIDENTAL;CORDEIRO;541;;COLISÃO TRANSVERSAL;0;1;0;0;0;0;1;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;30 km/h;Dupla;Canteiro central;;
202200399;06/01/2022;;COM VÍTIMA;FINALIZADA;IPUTINGA;AV MAURICIO DE NASSAU;455;EST DO BARBALHO;IPUTINGA;246;;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Faixa contínua;;
202200425;07/01/2022;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;SANTO AMARO;378;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;;;Não há placas;60 km/h;Dupla;Canteiro central;;
202200437;07/01/2022;;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;DERBY;75;BOA VIAGEM;COLISÃO TRASEIRA;0;2;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Outras;60 km/h;Dupla;Canteiro central;;
202200438;07/01/2022;;COM VÍTIMA;FINALIZADA;LINHA DO TIRO;RUA URIEL DE HOLANDA;274;;LINHA DO TIRO;;SUBURBIO;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Outras;30 km/h;Dupla;Não existe;;
202200439;07/01/2022;;SEM VÍTIMA;CANCELADA;BOA VISTA;AV CONDE DA BOA VISTA;;;BOA VISTA;;SUBURBIO;COLISÃO TRASEIRA;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202200453;07/01/2022;;COM VÍTIMA;CANCELADA;AFOGADOS;RUA CINCO DE NOVEMBRO;171;RUA JACIRA;AFOGADOS;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200472;07/01/2022;;COM VÍTIMA;FINALIZADA;PINA;AV ENCANTA MOCA;15;;PINA;;SUBURBIO;COLISÃO FRONTAL;0;2;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202200483;08/01/2022;;COM VÍTIMA;FINALIZADA;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;;JOANA BEZERRA;;CIDADE;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Viaduto;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
202200541;08/01/2022;;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA DA PAZ;204;RUA NICOLAU PEREIRA;AFOGADOS;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;R-6a;;Única;Não existe;;
202200544;08/01/2022;;COM VÍTIMA;DUPLICIDADE;AFOGADOS;RUA DA PAZ;239;;AFOGADOS;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200545;08/01/2022;;COM VÍTIMA;FINALIZADA;CASA AMARELA;RUA PADRE LEMOS;;;CASA AMARELA;;CIDADE;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;
202200547;08/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DES JOAO PAES;656;;BOA VIAGEM;;SUBURBIO;CHOQUE;3;0;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;"Placas ""Pare""";30 km/h;Única;Não existe;;
202200548;08/01/2022;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;SANTO AMARO;378;OLINDA;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;60 km/h;Dupla;Canal;Faixa seccionada;
202200556;08/01/2022;;COM VÍTIMA;FINALIZADA;CASA FORTE;AV DEZESSETE DE AGOSTO;;RUA PIAUI;CASA FORTE;251;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Outros;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Não existe;;
202200571;09/01/2022;;COM VÍTIMA;FINALIZADA;BAIRRO DO RECIFE;CAIS DO APOLO;;;BAIRRO DO RECIFE;;;QUEDA;0;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Canteiro central;;
202200589;09/01/2022;;COM VÍTIMA;FINALIZADA;IPUTINGA;RUA SAO MATEUS;717;RUA JOSE FELIPE SANTIAGO;IPUTINGA;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Não existe;;
202200624;09/01/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA ALFREDO DE CARVALHO;150;RUA ALFREDO DE MEDEIROS;ESPINHEIRO;;SUBURBIO;CHOQUE;2;0;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6b;30 km/h;Única;Não existe;;
202200633;10/01/2022;;SEM VÍTIMA;FINALIZADA;ILHA DO LEITE;AV GOVERNADOR AGAMENON MAGALHAES;4779;;ILHA DO LEITE;;;COLISÃO LATERAL;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202200655;10/01/2022;;COM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;4038;EST DO BARBALHO;CORDEIRO;533;SUBURBIO;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;Não há placas;60 km/h;Única;Faixa contínua;Faixa seccionada;Canteiro central
202200670;10/01/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA AMELIA;;RUA ESMERALDINO BANDEIRA;ESPINHEIRO;675;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Com defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
202200671;10/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA BARAO DE SOUZA LEAO;1000;RUA ALMIRANTE NELSON FERNANDES;BOA VIAGEM;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
202200672;10/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DOM JOSE LOPES;676;RUA CORONEL ANIZIO RODRIGUES COELHO;BOA VIAGEM;;SUBURBIO;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";;Única;Faixa seccionada;;
202200676;10/01/2022;;COM VÍTIMA;CANCELADA;IPUTINGA;AV MAURICIO DE NASSAU;455;EST DO BARBALHO;IPUTINGA;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200691;10/01/2022;;COM VÍTIMA;FINALIZADA;IPUTINGA;AV CAXANGA;4190;;IPUTINGA;290;SUBURBIO;COLISÃO COM CICLISTA;0;1;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Única;Faixa seccionada;;
202200692;10/01/2022;;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA DO ESPINHEIRO;200;RUA SANTO ELIAS;ESPINHEIRO;;CIDADE;COLISÃO TRANSVERSAL;0;2;0;0;0;0;0;0;0;3;0;Cruzamento;Bom;Não existe;Ilegível;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";;Única;Faixa seccionada;;
202200693;10/01/2022;;COM VÍTIMA;FINALIZADA;ENCRUZILHADA;AV BEBERIBE;;RUA DA CORAGEM;ENCRUZILHADA;186;CIDADE;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;40 km/h;Dupla;Faixa contínua;;
202200697;10/01/2022;;COM VÍTIMA;FINALIZADA;ALTO JOSÉ BONIFÁCIO;RUA CORREGO DO EUCLIDES;1410;;ALTO JOSÉ BONIFÁCIO;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;;;;;Dupla;Faixa seccionada;;
202200699;10/01/2022;;COM VÍTIMA;CANCELADA;BOA VISTA;RUA DO PROGRESSO;95;;BOA VISTA;;;COLISÃO FRONTAL;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200700;10/01/2022;;SEM VÍTIMA;FINALIZADA;JOANA BEZERRA;VIADUTO CAPITAO TEMUDO;;;JOANA BEZERRA;;CIDADE;CHOQUE;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202200706;11/01/2022;;COM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;1069;;MACAXEIRA;;CIDADE;COLISÃO TRASEIRA;2;1;0;0;0;0;0;0;0;1;0;Longo da via;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Faixa contínua;Canteiro central;
202200741;11/01/2022;;COM VÍTIMA;FINALIZADA;PINA;AVENIDA CELSO FURTADO (VIA MANGUE);;;PINA;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Chuvoso;Não existe;Não existente;Molhada;Perfeito estado;Não existe;Não há placas;;Única;Faixa seccionada;;
202200746;11/01/2022;;SEM VÍTIMA;FINALIZADA;MADALENA;AV CAXANGA;;RUA HERMOGENES DE MORAIS;MADALENA;257;SUBURBIO;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;1;0;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Dupla;Faixa contínua;;
202200752;11/01/2022;;COM VÍTIMA;CANCELADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;3810;RUA BRUNO VELOSO;BOA VIAGEM;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202200757;11/01/2022;;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;1253;RUA BOLIVAR;ARRUDA;;CIDADE;COLISÃO TRANSVERSAL;1;0;1;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;R-6a;;Dupla;Faixa contínua;;
202200761;11/01/2022;;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AVENIDA CELSO FURTADO (VIA MANGUE);;;BOA VIAGEM;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;;;
202200762;11/01/2022;;COM VÍTIMA;FINALIZADA;CORDEIRO;RUA GOMES TABORDA;1583;RUA FIRMINO DE BARROS;CORDEIRO;;SUBURBIO;COLISÃO COM CICLISTA;2;0;0;1;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Não existente;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Faixa seccionada;;
202200771;11/01/2022;;SEM VÍTIMA;FINALIZADA;VÁRZEA;RUA AGRICOLANDIA;196;;VÁRZEA;;;CHOQUE;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202200779;11/01/2022;;COM VÍTIMA;FINALIZADA;TAMARINEIRA;EST VELHA DE AGUA FRIA;596;AV NORTE MIGUEL ARRAES DE ALENCAR;TAMARINEIRA;;SUBURBIO;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Dupla;Faixa contínua;Faixa seccionada;Canteiro central
202200790;12/01/2022;;COM VÍTIMA;FINALIZADA;MACAXEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;7608;AV JOSE AMERICO DE ALMEIDA;MACAXEIRA;;SUBURBIO;TOMBAMENTO;0;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;;60 km/h;Dupla;Faixa contínua;;
202200798;12/01/2022;;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;SANTO AMARO;;;COLISÃO FRONTAL;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;60 km/h;Dupla;Faixa seccionada;;
202200811;12/01/2022;;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;RUA IMPERIAL;962;TRV DO RAPOSO;SÃO JOSÉ;510;;COLISÃO TRANSVERSAL;0;2;0;0;0;0;0;1;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa contínua;Faixa seccionada;
202200834;12/01/2022;;COM VÍTIMA;FINALIZADA;PINA;AVENIDA CELSO FURTADO (VIA MANGUE);;;PINA;;SUBURBIO;COLISÃO COM CICLISTA;0;1;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Outras;;Única;Faixa seccionada;;
