Protocolo;data;hora;natureza;situacao;bairro;endereco;numero;detalhe_endereco_acidente;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
202223838;07/10/2022;;COM VÍTIMA;CANCELADA;CASA AMARELA;AV PROFESSOR JOSE DOS ANJOS;;;CASA AMARELA;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
202223844;07/10/2022;;COM VÍTIMA;FINALIZADA;BOA VISTA;RUA DO RIACHUELO;;RUA DO HOSPICIO;BOA VISTA;;;ATROPELAMENTO DE PESSOA;1;0;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;30 km/h;Dupla;Canteiro central;;
202223847;07/10/2022;;COM VÍTIMA;FINALIZADA;IPUTINGA;AV MAURICIO DE NASSAU;;RUA N S DA SAUDE;IPUTINGA;88;SUBURBIO;COLISÃO FRONTAL;0;2;0;0;0;0;0;0;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Não há placas;60 km/h;Dupla;Faixa contínua;;
202223855;07/10/2022;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV CRUZ CABUGA;;AV DR JAYME DA FONTE;SANTO AMARO;343;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Não existe;;
202223861;07/10/2022;;COM VÍTIMA;FINALIZADA;PINA;AV HERCULANO BANDEIRA;513;;PINA;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
202223872;08/10/2022;;VÍTIMA FATAL;FINALIZADA;AFOGADOS;RUA MOTOCOLOMBO;;;AFOGADOS;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;0;1;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;;Faixa seccionada;;
202223884;08/10/2022;;COM VÍTIMA;FINALIZADA;SANTO AMARO;PTE PRINCESA IZABEL;;;SANTO AMARO;;CIDADE;COLISÃO COM CICLISTA;0;0;0;1;0;0;1;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Faixa seccionada;;
202223916;08/10/2022;;COM VÍTIMA;FINALIZADA;TORRE;RUA REAL DA TORRE;460;;TORRE;179;CIDADE;QUEDA;0;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;;
202223920;08/10/2022;;COM VÍTIMA;FINALIZADA;IBURA;AV DOM HELDER CAMARA;;;IBURA;315;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;Outras;;;Faixa contínua;;
202223924;08/10/2022;;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;AV SUL;981;;SÃO JOSÉ;509;SUBURBIO;COLISÃO FRONTAL;0;2;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Não existe;;
202223927;08/10/2022;;SEM VÍTIMA;FINALIZADA;MADALENA;RUA ALTINHO;44;;MADALENA;;CIDADE;CHOQUE;4;0;0;0;0;0;1;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Não existe;;
202223946;08/10/2022;;COM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;;RUA PEDRO JOSE VIEIRA;BARRO;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;
202223956;09/10/2022;;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV GENERAL MAC ARTHUR;;;BOA VIAGEM;;;CHOQUE;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
202224006;09/10/2022;;COM VÍTIMA;FINALIZADA;JORDÃO;AV MARIA IRENE;33;;JORDÃO;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Não existe;;
202224017;09/10/2022;;COM VÍTIMA;FINALIZADA;PARNAMIRIM;AV PARNAMIRIM;;RUA TITO ROSAS;PARNAMIRIM;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;;
202224031;10/10/2022;;COM VÍTIMA;FINALIZADA;ÁGUA FRIA;AV BEBERIBE;26;RUA ZEFERINO AGRA;ÁGUA FRIA;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;40 km/h;Dupla;Faixa contínua;;
202224034;10/10/2022;;COM VÍTIMA;FINALIZADA;COHAB;RUA DR BENIGNO JORDAO DE VASCONCELOS;385;RUA JOAO CORDEIRO DE SOUZA;COHAB;;CIDADE;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
202224038;10/10/2022;;COM VÍTIMA;FINALIZADA;IPSEP;RUA BLUMENAU;374;RUA IRAPUA;IPSEP;;SUBURBIO;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;"Placas ""Pare""";30 km/h;Única;;;
202224039;10/10/2022;;COM VÍTIMA;FINALIZADA;IPSEP;RUA JEAN EMILE FAVRE;1676;RUA HELIO BRANDAO;IPSEP;135;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Dupla;Faixa contínua;;
202224048;10/10/2022;;COM VÍTIMA;FINALIZADA;PINA;PTE AGAMENON MAGALHAES;;;PINA;;CIDADE;COLISÃO LATERAL;0;2;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-19;60 km/h;Única;Faixa contínua;Canteiro central;
202224057;10/10/2022;;COM VÍTIMA;FINALIZADA;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;;;GRAÇAS;174;;COLISÃO TRASEIRA;1;0;0;0;0;2;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Canal;;
202224065;10/10/2022;;COM VÍTIMA;FINALIZADA;IBURA;AV RIO SAO FRANCISCO;318;;IBURA;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6c;;Dupla;Não existe;;
202224076;10/10/2022;;COM VÍTIMA;FINALIZADA;CAXANGÁ;AV CAXANGA;4302;;CAXANGÁ;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Outras;40 km/h;Dupla;Canteiro central;;
202224079;10/10/2022;;COM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;4316;;AREIAS;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;Dupla;Canteiro central;;
202224080;10/10/2022;;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;SANTO AMARO;78;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa contínua;Faixa seccionada;
202224088;11/10/2022;;COM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;AV VEREADOR OTACILIO AZEVEDO;877;RUA JOSE REBOUCAS;NOVA DESCOBERTA;;;COLISÃO TRASEIRA;1;2;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;
202224095;11/10/2022;;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA SAO MIGUEL;898;;AFOGADOS;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Incompleta;Seca;Mal conservada;Não existe;Não há placas;60 km/h;Dupla;Faixa contínua;Faixa seccionada;
202224108;11/10/2022;;COM VÍTIMA;FINALIZADA;CURADO;AV PROFESSOR LUIZ FREIRE;500;;CURADO;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Ilegível;Seca;Outros;Não existe;Não há placas;30 km/h;Dupla;Faixa contínua;;
202224114;11/10/2022;;COM VÍTIMA;FINALIZADA;BOA VISTA;AV LINS PETIT;195;;BOA VISTA;;SUBURBIO;ATROPELAMENTO DE PESSOA;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Ilegível;Seca;Perfeito estado;Outros;Outras;;Única;Não existe;;
202224129;11/10/2022;;COM VÍTIMA;FINALIZADA;MADALENA;RUA REAL DA TORRE;907;;MADALENA;;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Outros;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
202224157;11/10/2022;;COM VÍTIMA;FINALIZADA;ALTO DO MANDU;RUA BARAUNA;123;;ALTO DO MANDU;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Esquina;Chuvoso;Não existe;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Outras;20 km/h;Dupla;Faixa seccionada;;
202224162;11/10/2022;;COM VÍTIMA;FINALIZADA;MANGABEIRA;AV NORTE MIGUEL ARRAES DE ALENCAR;;RUA DA MANGABEIRA;MANGABEIRA;96;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;"Placas ""Pare""";;Dupla;Canteiro central;;
